,label all-MiniLM-L12-v2 hdbscan_bayesian_optimisation,all-MiniLM-L12-v2 hdbscan_bayesian_optimisation
0,failed_job_person_co,-1
14,feel_friend_people_party,13
24,going_thing_work_time,23
12,like_project_friend_girlfriend,11
3,cares_essay_friend_marriage,2
9,hate_co_neighbor_friend,8
19,refused_feeling_family_people,18
31,fired_job_time,30
26,messed_advantage_work_boss,25
13,got_exam_time_person,12
4,want_time_boyfriend,3
23,going_light_future_medication,22
21,thoughts_thought_sister_racing,20
29,thinks_vase_mother_mom,28
18,worthlessness_friend_job_sister,17
20,feel_thing_time_self,19
17,felt_attack_patient_people,16
33,felt_mistake_failure_work,32
10,going_store_girlfriend_partner,9
8,hate_weight_troll_pig,7
32,lose_job_boss_minute,31
36,thinks_loser_friend,35
27,got_grade_teacher,26
35,win_writer_writing,34
22,die_house_life_reason,21
11,thinks_time_boss_partner,10
2,trying_weight_diet_week,1
6,m_parent_friend,5
16,terrible_mistake_meal_day,15
25,feel_goal_age_friend,24
28,working_work_project_time,27
5,thought_cake_husband_jerk,4
15,deserve_choice_way_husband,14
30,stuck_qualification_job_promotion,29
1,feel_commercial_kitchen_house,0
7,needs_job_boss,6
34,feel_job_burden,33
